attribute,since,category,tags,description
adolescents, 1.0, (1) Sex- and-age disaggregation (SADD) attributes, #affected #inneed #population #reached #targeted,"Adolescents, loosely defined (precise age range varies); may overlap +children and +adult. You can optionally create custom attributes in addition to this to add precise age ranges, e.g. ""+adolescents +age12_17""."
adults,      1.0, (1) Sex- and-age disaggregation (SADD) attributes, #affected #inneed #population #reached #targeted,"Adults, loosely defined (precise age range varies); may overlap +adolescents and +elderly. You can optionally create custom attributes in addition to this to add precise age ranges, e.g. ""+adults +age18_64""."
children,    1.0, (1) Sex- and-age disaggregation (SADD) attributes, #affected #inneed #population #reached #targeted,"The associated hashtag applies to non-adults, loosely defined (precise age range varies; may overlap +infants and +adolescents). You can optionally create custom attributes in addition to this to add precise age ranges, e.g. ""+children +age3_11""."
elderly,     1.0, (1) Sex- and-age disaggregation (SADD) attributes, #affected #inneed #population #reached #targeted,"Elderly people, loosely defined (precise age range varies). May overlap +adults. You can optionally create custom attributes in addition to this to add precise age ranges, e.g. ""+elderly +age65plus""."
f,           1.0, (1) Sex- and-age disaggregation (SADD) attributes, #affected #inneed #population #reached #targeted,"Female people. See also +m and +i."
hh,          1.1, (1) Sex- and-age disaggregation (SADD) attributes, #affected #inneed #population #reached #targeted,"Households (vs +ind for individual people). The exact definition of ""household"" may vary among aid organisations."
i,           1.0, (1) Sex- and-age disaggregation (SADD) attributes, #affected #inneed #population #reached #targeted,"Intersex or non-gender-binary people. Use this attribute for any groups who do not identify as male (+m) or female (+f)."
ind,         1.1, (1) Sex- and-age disaggregation (SADD) attributes, #affected #inneed #population #reached #targeted,"Individual people (vs +hh for households)."
infants,     1.0, (1) Sex- and-age disaggregation (SADD) attributes, #affected #inneed #population #reached #targeted,"Infant children, loosely defined (precise age range varies; may overlap +children). You can optionally create custom attributes in addition to this to add precise age ranges, e.g. ""+infants +age0_2""."
m,           1.0, (1) Sex- and-age disaggregation (SADD) attributes, #affected #inneed #population #reached #targeted,"Male people. See also +f and +i."
activity,    1.1, (2) Organisation and activity attributes, #activity,"The implementers classify this activity as an ""activity"" proper (may imply different hierarchical levels in different contexts)."
cluster,     1.1, (2) Organisation and activity attributes, #sector,"Identifies a sector as a formal IASC humanitarian cluster."
funder,      1.0, (2) Organisation and activity attributes, #org,"Funding org/agency (e.g. donor)."
impl,        1.0, (2) Organisation and activity attributes, #org,"Implementing partner."
prog,        1.0, (2) Organisation and activity attributes, #org,"Programming org/agency."
